movie_id,title,release_year,runtime,genre
3623,Metropolis,1927,153,scifi
4111,All Quiet on the Western Front,1930,152,war
3808,The Prizefighter and the Lady,1933,102,sports
1910,Little Women,1933,115,family
4176,Little Women,1933,115,war
905,Snow White and the Seven Dwarfs,1937,83,animation
1940,Snow White and the Seven Dwarfs,1937,83,family
3192,The Adventures of Robin Hood,1938,102,romance
4219,Espionage Agent,1939,83,war
601,The Wizard of Oz,1939,102,adventure
1747,The Wizard of Oz,1939,102,family
2116,The Wizard of Oz,1939,102,fantasy
3107,Gone with the Wind,1939,238,romance
4116,Gone with the Wind,1939,238,war
975,Pinocchio,1940,88,animation
1016,Fantasia,1940,124,animation
2444,The Sea Hawk,1940,127,history
2975,Citizen Kane,1941,119,mystery
1039,Bambi,1942,69,animation
3297,The Palm Beach Story,1942,88,romance
3100,Casablanca,1942,102,romance
4104,Casablanca,1942,102,war
3134,Mr. Skeffington,1944,146,romance
1958,Dick Tracy,1945,61,family
1444,Hangover Square,1945,77,crime
4207,Hotel Berlin,1945,98,war
929,Song of the South,1946,94,animation
2320,Stairway to Heaven,1946,104,fantasy
4163,Stairway to Heaven,1946,104,war
1780,It's a Wonderful Life,1946,130,family
2167,It's a Wonderful Life,1946,130,fantasy
3207,It's a Wonderful Life,1946,130,romance
3182,The Best Years of Our Lives,1946,170,romance
933,Cinderella,1950,74,animation
915,Alice in Wonderland,1951,75,animation
3202,The African Queen,1951,105,romance
3235,Singin' in the Rain,1952,103,romance
829,Peter Pan,1953,77,animation
1971,Peter Pan,1953,77,family
2549,Creature from the Black Lagoon,1954,79,horror
3366,Creature from the Black Lagoon,1954,79,scifi
3227,Brigadoon,1954,108,romance
2957,Rear Window,1954,112,mystery
954,Lady and the Tramp,1955,76,animation
3063,Battle Cry,1955,149,romance
1888,The Ten Commandments,1956,220,family
2415,The Ten Commandments,1956,220,history
4186,Paths of Glory,1957,88,war
1377,12 Angry Men,1957,96,crime
2286,The Seventh Seal,1957,96,fantasy
4160,The Bridge on the River Kwai,1957,161,war
1271,I Want to Live!,1958,120,biography
2951,Vertigo,1958,128,mystery
3255,Vertigo,1958,128,romance
3240,Auntie Mame,1958,143,romance
956,Sleeping Beauty,1959,75,animation
3193,Some Like It Hot,1959,121,romance
1280,The Rise and Fall of Legs Diamond,1960,101,biography
2599,Psycho,1960,109,horror
2870,Psycho,1960,109,mystery
2375,Inherit the Wind,1960,128,history
720,The Magnificent Seven,1960,128,adventure
2423,The Alamo,1960,162,history
4173,The Alamo,1960,162,war
1237,Spartacus,1960,197,biography
2428,Spartacus,1960,197,history
4178,Spartacus,1960,197,war
944,One Hundred and One Dalmatians,1961,79,animation
3027,Breakfast at Tiffany's,1961,115,romance
3858,The Hustler,1961,134,sports
1558,West Side Story,1961,153,crime
3038,West Side Story,1961,153,romance
4197,Judgment at Nuremberg,1961,179,war
3231,Light in the Piazza,1962,102,romance
306,Dr. No,1962,110,action
644,Dr. No,1962,110,adventure
1602,To Kill a Mockingbird,1962,129,crime
1639,Lolita,1962,153,crime
3148,Lolita,1962,153,romance
2506,The Longest Day,1962,178,history
661,Lawrence of Arabia,1962,218,adventure
1122,Lawrence of Arabia,1962,218,biography
4121,Lawrence of Arabia,1962,218,war
1035,The Sword in the Stone,1963,79,animation
178,From Russia with Love,1963,115,action
543,From Russia with Love,1963,115,adventure
2398,The Great Escape,1963,172,history
4147,The Great Escape,1963,172,war
2425,The Leopard,1963,186,history
1211,Cleopatra,1963,192,biography
2431,Cleopatra,1963,192,history
1585,It's a Mad Mad Mad Mad World,1963,210,crime
4137,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,war
183,Goldfinger,1964,110,action
549,Goldfinger,1964,110,adventure
2490,Zulu,1964,138,history
4227,Zulu,1964,138,war
1794,Mary Poppins,1964,139,family
2195,Mary Poppins,1964,139,fantasy
1955,My Fair Lady,1964,170,family
217,Thunderball,1965,130,action
573,Thunderball,1965,130,adventure
3919,The Great Race,1965,160,sports
