payment_id,user_id,amount,payment_date,plan_type,valid_until,churn_status,renewed
T67951961023,15000,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T68965430008,15000,12.99,05-01-2025,Premium,06-03-2025,active,TRUE
T56296958896,15000,7.99,08-03-2025,Standard,07-04-2025,active,TRUE
T77025305054,15001,7.99,01-11-2024,Standard,01-12-2024,active,TRUE
T73938493845,15001,7.99,04-12-2024,Standard,03-01-2025,churned,FALSE
T80595234029,15002,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T73954774255,15002,12.99,01-01-2025,Premium,02-03-2025,active,TRUE
T61837475327,15002,7.99,04-03-2025,Standard,03-04-2025,active,TRUE
T71978840752,15003,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T71946924698,15003,12.99,01-01-2025,Premium,02-03-2025,active,TRUE
T50148784679,15003,12.99,06-03-2025,Premium,05-05-2025,active,TRUE
T58644841988,15004,7.99,01-11-2024,Standard,01-12-2024,active,TRUE
T84013522849,15004,7.99,05-12-2024,Standard,04-01-2025,active,TRUE
T72482353322,15004,7.99,06-01-2025,Standard,05-02-2025,churned,FALSE
T83883237822,15005,7.99,01-11-2024,Standard,01-12-2024,active,TRUE
T76865942780,15005,12.99,03-12-2024,Premium,01-02-2025,active,TRUE
T77059393369,15005,4.99,04-02-2025,Student Plan,06-03-2025,active,TRUE
T78206972357,15005,4.99,11-03-2025,Student Plan,10-04-2025,active,TRUE
T97014296147,15006,7.99,01-11-2024,Standard,01-12-2024,churned,FALSE
T63243950830,15007,4.99,01-11-2024,Student Plan,01-12-2024,active,TRUE
T52961182357,15007,4.99,02-12-2024,Student Plan,01-01-2025,active,TRUE
T98234667443,15007,4.99,06-01-2025,Student Plan,05-02-2025,active,TRUE
T64631456133,15007,4.99,06-02-2025,Student Plan,08-03-2025,active,TRUE
T68365552825,15007,4.99,12-03-2025,Student Plan,11-04-2025,churned,FALSE
T78675282880,15008,12.99,01-11-2024,Premium,31-12-2024,active,TRUE
T95195701636,15008,12.99,03-01-2025,Premium,04-03-2025,active,TRUE
T89924419025,15008,12.99,06-03-2025,Premium,05-05-2025,active,TRUE
T56541822237,15009,4.99,01-11-2024,Student Plan,01-12-2024,churned,FALSE
