watch_id,user_id,movie_id,watch_date,watch_duration,device_type
W20000,15013,2027,2024-11-01,115.0,Laptop
W20001,15008,2393,2024-11-01,135.0,Mobile
W20002,15015,437,2024-11-01,106.0,Laptop
W20004,15004,1137,2024-11-01,99.0,Mobile
W20005,15003,1823,2024-11-01,126.0,Smart TV
W20006,15017,2362,2024-11-01,150.0,Laptop
W20007,15018,2027,2024-11-01,6.0,Mobile
W20008,15017,1208,2024-11-01,103.0,Laptop
W20009,15008,913,2024-11-01,78.0,Smart TV
W20010,15011,4229,2024-11-01,117.0,Laptop
W20011,15003,3844,2024-11-01,108.0,Smart TV
W20012,15000,1433,2024-11-01,83.0,Smart TV
W20013,15020,3787,2024-11-01,124.0,Smart TV
W20015,15003,610,2024-11-01,55.0,Smart TV
W20016,15021,2701,2024-11-01,57.0,Smart TV
W20017,15012,1544,2024-11-01,102.0,Smart TV
W20018,15014,1164,2024-11-01,112.0,Smart TV
W20021,15009,4185,2024-11-01,91.0,Laptop
W20022,15012,504,2024-11-01,108.0,Laptop
W20024,15038,3859,2024-11-02,48.0,Mobile
W20025,15035,3710,2024-11-02,45.0,Mobile
W20026,15001,1125,2024-11-02,127.0,Laptop
W20027,15003,2869,2024-11-02,96.0,Laptop
W20028,15018,217,2024-11-02,127.0,Mobile
W20029,15000,3497,2024-11-02,114.0,Laptop
W20030,15011,646,2024-11-02,92.0,Laptop
W20031,15010,13,2024-11-02,70.0,Smart TV
W20032,15031,834,2024-11-02,103.0,Smart TV
W20033,15012,570,2024-11-02,141.0,Smart TV
W20034,15040,2617,2024-11-02,115.0,Mobile
W20035,15002,269,2024-11-02,130.0,Laptop
W20036,15021,2754,2024-11-02,94.0,Mobile
W20037,15014,2825,2024-11-02,92.0,Mobile
W20038,15037,51,2024-11-02,137.0,Smart TV
W20039,15021,2418,2024-11-02,112.0,Smart TV
W20040,15015,1105,2024-11-02,106.0,Smart TV
W20041,15040,4104,2024-11-02,98.0,Laptop
W20042,15012,1818,2024-11-02,98.0,Laptop
W20044,15031,4080,2024-11-02,121.0,Mobile
W20045,15027,118,2024-11-02,138.0,Smart TV
W20046,15004,2289,2024-11-02,103.0,Mobile
W20047,15019,431,2024-11-02,110.0,Laptop
W20048,15032,3779,2024-11-02,89.0,Mobile
W20049,15042,1027,2024-11-02,78.0,Laptop
W20050,15038,3735,2024-11-02,105.0,Smart TV
W20051,15000,1839,2024-11-02,103.0,Laptop
W20052,15009,3558,2024-11-02,84.0,Laptop
W20053,15002,2722,2024-11-02,78.0,Laptop
W20054,15033,1172,2024-11-02,125.0,Mobile
W20055,15012,1909,2024-11-02,92.0,Smart TV
W20056,15001,1227,2024-11-02,137.0,Mobile
W20057,15014,1978,2024-11-02,115.0,Laptop
W20058,15021,4049,2024-11-02,157.0,Laptop
W20059,15018,472,2024-11-02,98.0,Laptop
W20060,15028,2015,2024-11-02,126.0,Laptop
W20061,15029,3993,2024-11-02,79.0,Smart TV
W20062,15013,1418,2024-11-02,99.0,Laptop
W20063,15011,3190,2024-11-02,20.0,Smart TV
W20064,15021,2472,2024-11-02,21.0,Smart TV
W20065,15010,2723,2024-11-02,92.0,Mobile
W20067,15025,200,2024-11-02,92.0,Smart TV
W20068,15033,1529,2024-11-03,91.0,Laptop
W20070,15028,1150,2024-11-03,134.0,Laptop
W20071,15028,48,2024-11-03,131.0,Smart TV
W20072,15002,3772,2024-11-03,52.0,Laptop
W20073,15020,1661,2024-11-03,160.0,Laptop
W20074,15024,2762,2024-11-03,124.0,Laptop
W20075,15023,2825,2024-11-03,93.0,Smart TV
W20076,15019,2278,2024-11-03,149.0,Laptop
W20077,15062,2761,2024-11-03,128.0,Mobile
W20079,15049,3218,2024-11-03,127.0,Laptop
W20081,15011,1896,2024-11-03,88.0,Laptop
W20082,15025,1739,2024-11-03,79.0,Mobile
W20083,15020,2012,2024-11-03,14.0,Laptop
W20084,15001,1698,2024-11-03,46.0,Mobile
W20085,15045,3439,2024-11-03,93.0,Laptop
W20086,15022,4174,2024-11-03,121.0,Mobile
W20087,15060,1216,2024-11-03,21.0,Laptop
W20088,15027,3160,2024-11-03,101.0,Laptop
W20089,15014,4105,2024-11-03,107.0,Smart TV
W20090,15015,2942,2024-11-03,94.0,Smart TV
W20091,15035,217,2024-11-03,129.0,Mobile
W20094,15050,3561,2024-11-03,94.0,Mobile
W20095,15031,3570,2024-11-03,113.0,Smart TV
W20096,15028,86,2024-11-03,135.0,Mobile
W20097,15040,676,2024-11-03,18.0,Mobile
W20098,15047,4098,2024-11-03,67.0,Laptop
W20099,15029,380,2024-11-03,116.0,Smart TV
W20100,15037,4174,2024-11-03,118.0,Smart TV
W20101,15053,4105,2024-11-03,105.0,Mobile
W20104,15018,269,2024-11-03,128.0,Laptop
W20105,15052,1054,2024-11-03,74.0,Smart TV
W20106,15008,2041,2024-11-03,111.0,Laptop
W20107,15028,3101,2024-11-03,100.0,Laptop
W20108,15056,1595,2024-11-03,78.0,Laptop
W20109,15039,1767,2024-11-03,106.0,Mobile
W20110,15012,2090,2024-11-03,124.0,Smart TV
W20111,15029,627,2024-11-03,127.0,Smart TV
W20112,15054,3742,2024-11-03,55.0,Mobile
W20113,15034,2825,2024-11-03,89.0,Smart TV
W20114,15003,15,2024-11-03,146.0,Smart TV
W20116,15023,1976,2024-11-03,59.0,Smart TV
W20117,15064,1164,2024-11-03,108.0,Laptop
W20118,15022,1698,2024-11-03,113.0,Laptop
W20119,15007,2308,2024-11-03,58.0,Laptop
W20120,15032,2722,2024-11-03,4.0,Mobile
W20122,15025,2616,2024-11-03,66.0,Laptop
W20123,15047,2287,2024-11-03,107.0,Mobile
W20124,15010,1779,2024-11-03,104.0,Mobile
W20125,15039,2800,2024-11-03,88.0,Laptop
W20127,15020,109,2024-11-03,104.0,Laptop
W20128,15035,2841,2024-11-03,103.0,Smart TV
W20129,15029,3053,2024-11-03,97.0,Laptop
W20130,15014,1767,2024-11-04,102.0,Mobile
W20131,15026,3021,2024-11-04,114.0,Mobile
W20132,15020,3001,2024-11-04,64.0,Smart TV
W20134,15048,1170,2024-11-04,145.0,Smart TV
W20137,15072,4105,2024-11-04,113.0,Mobile
W20139,15022,3741,2024-11-04,70.0,Smart TV
W20140,15005,980,2024-11-04,79.0,Laptop
W20143,15038,1093,2024-11-04,51.0,Smart TV
W20144,15001,1216,2024-11-04,187.0,Laptop
W20146,15012,1437,2024-11-04,51.0,Laptop
W20149,15015,3405,2024-11-04,83.0,Laptop
W20150,15000,2886,2024-11-04,101.0,Smart TV
W20151,15083,2051,2024-11-04,130.0,Laptop
W20152,15017,1732,2024-11-04,117.0,Mobile
W20153,15004,636,2024-11-04,100.0,Smart TV
W20154,15046,1367,2024-11-04,186.0,Smart TV
W20155,15008,3787,2024-11-04,119.0,Laptop
W20156,15026,279,2024-11-04,71.0,Mobile
W20157,15056,2661,2024-11-04,87.0,Laptop
W20158,15039,51,2024-11-04,134.0,Laptop
W20159,15068,1384,2024-11-04,95.0,Mobile
W20160,15022,1390,2024-11-04,188.0,Smart TV
W20161,15068,1134,2024-11-04,114.0,Smart TV
W20162,15015,1175,2024-11-04,25.0,Smart TV
W20163,15004,174,2024-11-04,120.0,Mobile
W20164,15034,2349,2024-11-04,134.0,Mobile
W20165,15018,329,2024-11-04,115.0,Mobile
W20166,15003,3214,2024-11-04,95.0,Laptop
W20167,15033,1988,2024-11-04,106.0,Mobile
W20168,15002,2817,2024-11-04,79.0,Smart TV
W20169,15060,1398,2024-11-04,96.0,Laptop
W20170,15000,3787,2024-11-04,119.0,Smart TV
W20171,15075,2923,2024-11-04,122.0,Smart TV
W20172,15048,3791,2024-11-04,88.0,Laptop
W20173,15082,1497,2024-11-04,98.0,Laptop
W20175,15012,1779,2024-11-04,13.0,Smart TV
W20176,15053,1054,2024-11-04,40.0,Laptop
W20177,15002,1314,2024-11-04,121.0,Laptop
W20179,15059,2421,2024-11-05,16.0,Mobile
W20180,15070,2460,2024-11-05,177.0,Smart TV
W20182,15020,2950,2024-11-05,92.0,Mobile
W20185,15014,799,2024-11-05,53.0,Laptop
W20186,15040,1698,2024-11-05,105.0,Mobile
W20187,15025,1406,2024-11-05,110.0,Mobile
W20188,15037,3579,2024-11-05,126.0,Laptop
W20189,15069,1514,2024-11-05,66.0,Smart TV
W20190,15052,3627,2024-11-05,130.0,Laptop
W20191,15069,3844,2024-11-05,105.0,Smart TV
W20192,15094,4104,2024-11-05,97.0,Smart TV
W20193,15031,1648,2024-11-05,117.0,Smart TV
W20194,15049,1199,2024-11-05,78.0,Mobile
W20195,15088,2540,2024-11-05,50.0,Laptop
W20197,15064,2529,2024-11-05,126.0,Mobile
W20198,15013,1494,2024-11-05,109.0,Mobile
W20200,15003,1839,2024-11-05,99.0,Smart TV
W20201,15054,3904,2024-11-05,89.0,Mobile
W20202,15021,3000,2024-11-05,7.0,Laptop
W20203,15007,2373,2024-11-05,108.0,Mobile
W20204,15024,1834,2024-11-05,81.0,Laptop
W20205,15077,296,2024-11-05,10.0,Laptop
W20206,15085,552,2024-11-05,99.0,Smart TV
W20208,15054,3783,2024-11-05,101.0,Laptop
W20209,15078,2835,2024-11-05,12.0,Laptop
W20211,15083,4212,2024-11-05,111.0,Smart TV
W20212,15094,3089,2024-11-05,105.0,Smart TV
W20213,15030,4177,2024-11-05,55.0,Smart TV
W20214,15060,3772,2024-11-05,114.0,Smart TV
W20215,15010,183,2024-11-05,103.0,Mobile
W20216,15014,2050,2024-11-05,135.0,Laptop
W20217,15061,4094,2024-11-05,115.0,Mobile
W20218,15007,4049,2024-11-05,23.0,Mobile
W20219,15042,1531,2024-11-05,70.0,Laptop
W20220,15072,3932,2024-11-05,68.0,Smart TV
W20221,15031,1874,2024-11-05,92.0,Smart TV
W20222,15000,331,2024-11-05,111.0,Smart TV
W20223,15014,1874,2024-11-05,90.0,Smart TV
W20224,15090,3627,2024-11-05,126.0,Laptop
W20225,15042,942,2024-11-05,88.0,Smart TV
W20226,15012,4214,2024-11-05,49.0,Laptop
W20227,15021,1834,2024-11-05,44.0,Smart TV
W20228,15045,201,2024-11-05,12.0,Smart TV
W20230,15056,3543,2024-11-06,101.0,Laptop
W20231,15080,1447,2024-11-06,98.0,Laptop
W20232,15014,1503,2024-11-06,115.0,Laptop
W20233,15017,2477,2024-11-06,11.0,Laptop
W20234,15007,1936,2024-11-06,14.0,Mobile
W20235,15046,1314,2024-11-06,11.0,Laptop
W20237,15058,1595,2024-11-06,84.0,Mobile
W20238,15089,1945,2024-11-06,17.0,Mobile
W20239,15023,2674,2024-11-06,113.0,Smart TV
W20241,15064,1945,2024-11-06,85.0,Smart TV
W20242,15056,2315,2024-11-06,56.0,Laptop
W20243,15069,3540,2024-11-06,127.0,Smart TV
W20244,15031,2674,2024-11-06,114.0,Laptop
W20245,15090,3195,2024-11-06,51.0,Smart TV
W20246,15000,165,2024-11-06,130.0,Laptop
W20247,15085,3742,2024-11-06,126.0,Laptop
W20248,15097,2027,2024-11-06,115.0,Smart TV
W20249,15067,3232,2024-11-06,80.0,Laptop
W20251,15081,1534,2024-11-06,66.0,Laptop
W20252,15024,2268,2024-11-06,82.0,Smart TV
W20253,15086,3057,2024-11-06,145.0,Laptop
