country,lat,lon
Afghanistan,33.93911,67.709953
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
Andorra,42.546245,1.601554
Angola,-11.202692,17.873887
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Bahamas,25.03428,-77.39628
Bahrain,26.0667,50.5577
Bangladesh,23.685,90.3563
Barbados,13.1939,-59.5432
Belarus,53.9006,27.559
Belgium,50.8503,4.3517
Belize,17.1899,-88.4976
Benin,9.3077,2.3158
Bhutan,27.5142,90.4336
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Botswana,-22.3285,24.6849
Brazil,-14.235,-51.9253
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cambodia,12.5657,104.991
Cameroon,3.848,11.5021
Canada,56.1304,-106.3468
Chad,15.4542,18.7322
Chile,-35.6751,-71.543
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cuba,21.5218,-77.7812
Cyprus,35.1264,33.4299
Czech Republic,49.8175,15.4729
Denmark,56.2639,9.5018
Djibouti,11.8251,42.5903
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Estonia,58.5953,25.0136
Ethiopia,9.145,40.4897
Finland,61.9241,25.7482
France,46.6034,1.8883
Germany,51.1657,10.4515
Greece,39.0742,21.8243
Greenland,71.7069,-42.6043
Guatemala,15.7835,-90.2308
Honduras,15.2,-86.2419
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Iran,32.4279,53.688
Iraq,33.2232,43.6793
Ireland,53.4129,-8.2439
Israel,31.0461,34.8516
Italy,41.8719,12.5674
Jamaica,18.1096,-77.2975
Japan,36.2048,138.2529
Jordan,30.5852,36.2384
Kazakhstan,48.0196,66.9237
Kenya,-1.286389,36.817223
Kuwait,29.3759,47.9774
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Lithuania,55.1694,23.8813
Malaysia,4.2105,101.9758
Mexico,23.6345,-102.5528
Mongolia,46.8625,103.8467
Morocco,31.7917,-7.0926
Nepal,28.3949,84.124
Netherlands,52.1326,5.2913
New Zealand,-40.9006,174.886
Nigeria,9.082,8.6753
Norway,60.472,8.4689
Pakistan,30.3753,69.3451
Peru,-9.19,-75.0152
Philippines,12.8797,121.774
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Qatar,25.3548,51.1839
Russia,61.524,105.3188
Saudi Arabia,23.8859,45.0792
Singapore,1.3521,103.8198
South Africa,-30.5595,22.9375
South Korea,35.9078,127.7669
Spain,40.4637,-3.7492
Sri Lanka,7.8731,80.7718
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
Thailand,15.87,100.9925
Turkey,38.9637,35.2433
Ukraine,48.3794,31.1656
United Arab Emirates,23.4241,53.8478
United Kingdom,55.3781,-3.436
United States,37.0902,-95.7129
Vietnam,14.0583,108.2772
Zimbabwe,-19.0154,29.1549
